"Label (Grouping)","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Median age (years)","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Some Other Race","RACE!!Total population!!Two or More Races"
"    Percent","51.7%","48.3%","(X)","90.0%","3.2%","0.2%","0.4%","N","N","0.9%","5.3%"
" -> Butler County, Ohio","","","","","","","","","","",""
"    Estimate","194,509","198,534","37.5","297,470","34,369","964","17,460","1,687","296","10,560","32,220"
"    Percent","49.5%","50.5%","(X)","75.7%","8.7%","0.2%","4.4%","0.4%","0.1%","2.7%","8.2%"
" -> Clark County, Ohio","","","","","","","","","","",""
"    Estimate","65,938","68,672","41.3","109,618","8,840","254","625","N","N","2,229","12,997"
"    Percent","49.0%","51.0%","(X)","81.4%","6.6%","0.2%","0.5%","N","N","1.7%","9.7%"
" -> Clermont County, Ohio","","","","","","","","","","",""
"    Estimate","104,565","107,407","41.8","193,868","1,977","315","1,691","N","N","3,268","10,853"
"    Percent","49.3%","50.7%","(X)","91.5%","0.9%","0.1%","0.8%","N","N","1.5%","5.1%"
" -> Columbiana County, Ohio","","","","","","","","","","",""
"    Estimate","50,942","49,240","45.4","93,290","1,719","345","201","N","N","683","3,944"
"    Percent","50.8%","49.2%","(X)","93.1%","1.7%","0.3%","0.2%","N","N","0.7%","3.9%"
" -> Cuyahoga County, Ohio","","","","","","","","","","",""
"    Estimate","591,168","641,920","40.7","710,256","355,473","2,671","43,772","10,582","1,257","32,896","87,780"
"    Percent","47.9%","52.1%","(X)","57.6%","28.8%","0.2%","3.5%","0.9%","0.1%","2.7%","7.1%"
" -> Delaware County, Ohio","","","","","","","","","","",""
"    Estimate","116,226","115,410","39.7","183,889","10,521","185","22,524","2,299","523","1,678","12,795"
"    Percent","50.2%","49.8%","(X)","79.4%","4.5%","0.1%","9.7%","1.0%","0.2%","0.7%","5.5%"
" -> Erie County, Ohio","","","","","","","","","","",""
"    Estimate","37,502","36,533","47.1","60,553","6,072","0","204","N","N","1,131","6,075"
"    Percent","50.7%","49.3%","(X)","81.8%","8.2%","0.0%","0.3%","N","N","1.5%","8.2%"
" -> Fairfield County, Ohio","","","","","","","","","","",""
"    Estimate","83,567","81,793","39.7","133,808","16,807","307","4,826","368","148","1,671","7,852"
"    Percent","50.5%","49.5%","(X)","80.9%","10.2%","0.2%","2.9%","0.2%","0.1%","1.0%","4.7%"
" -> Franklin County, Ohio","","","","","","","","","","",""
"    Estimate","650,526","675,537","35.1","778,267","313,868","3,947","72,194","12,729","3,895","45,821","111,417"
"    Percent","49.1%","50.9%","(X)","58.7%","23.7%","0.3%","5.4%","1.0%","0.3%","3.5%","8.4%"
" -> Geauga County, Ohio","","","","","","","","","","",""
"    Estimate","47,995","47,412","45.2","89,464","995","50","668","N","N","202","4,028"
"    Percent","50.3%","49.7%","(X)","93.8%","1.0%","0.1%","0.7%","N","N","0.2%","4.2%"
" -> Greene County, Ohio","","","","","","","","","","",""
"    Estimate","83,515","86,176","39.4","139,411","7,063","612","4,717","1,084","106","1,306","16,120"
"    Percent","49.2%","50.8%","(X)","82.2%","4.2%","0.4%","2.8%","0.6%","0.1%","0.8%","9.5%"
" -> Hamilton County, Ohio","","","","","","","","","","",""
"    Estimate","401,913","425,145","37.0","521,728","194,489","1,149","21,792","5,160","546","16,485","70,724"
"    Percent","48.6%","51.4%","(X)","63.1%","23.5%","0.1%","2.6%","0.6%","0.1%","2.0%","8.6%"
" -> Hancock County, Ohio","","","","","","","","","","",""
"    Estimate","37,434","37,270","39.5","64,747","67","55","1,809","N","N","2,974","5,052"
"    Percent","50.1%","49.9%","(X)","86.7%","0.1%","0.1%","2.4%","N","N","4.0%","6.8%"
" -> Lake County, Ohio","","","","","","","","","","",""
"    Estimate","113,564","118,076","44.5","197,457","13,647","401","2,671","473","284","3,556","13,851"
"    Percent","49.0%","51.0%","(X)","85.2%","5.9%","0.2%","1.2%","0.2%","0.1%","1.5%","6.0%"
" -> Licking County, Ohio","","","","","","","","","","",""
"    Estimate","90,394","92,807","40.0","155,047","5,741","50","7,901","N","N","1,646","12,698"
"    Percent","49.3%","50.7%","(X)","84.6%","3.1%","0.0%","4.3%","N","N","0.9%","6.9%"
" -> Lorain County, Ohio","","","","","","","","","","",""
"    Estimate","157,605","160,305","42.4","247,040","22,447","615","4,635","1,190","44","9,490","33,397"
"    Percent","49.6%","50.4%","(X)","77.7%","7.1%","0.2%","1.5%","0.4%","0.0%","3.0%","10.5%"
" -> Lucas County, Ohio","","","","","","","","","","",""
"    Estimate","206,879","218,605","38.5","291,205","81,226","1,090","8,057","1,968","49","8,143","35,536"
"    Percent","48.6%","51.4%","(X)","68.4%","19.1%","0.3%","1.9%","0.5%","0.0%","1.9%","8.4%"
" -> Mahoning County, Ohio","","","","","","","","","","",""
"    Estimate","110,665","114,931","43.3","168,395","26,316","663","2,078","N","N","6,334","21,785"
"    Percent","49.1%","50.9%","(X)","74.6%","11.7%","0.3%","0.9%","N","N","2.8%","9.7%"
" -> Marion County, Ohio","","","","","","","","","","",""
"    Estimate","35,331","29,520","41.2","56,635","2,919","22","701","N","N","549","4,025"
"    Percent","54.5%","45.5%","(X)","87.3%","4.5%","0.0%","1.1%","N","N","0.8%","6.2%"
" -> Medina County, Ohio","","","","","","","","","","",""
"    Estimate","91,476","92,566","43.9","170,472","1,308","75","2,126","249","169","1,350","8,586"
"    Percent","49.7%","50.3%","(X)","92.6%","0.7%","0.0%","1.2%","0.1%","0.1%","0.7%","4.7%"
" -> Miami County, Ohio","","","","","","","","","","",""
"    Estimate","54,824","56,052","41.5","99,861","2,399","0","2,265","N","N","630","5,721"
"    Percent","49.4%","50.6%","(X)","90.1%","2.2%","0.0%","2.0%","N","N","0.6%","5.2%"
" -> Montgomery County, Ohio","","","","","","","","","","",""
"    Estimate","258,277","275,519","38.6","360,701","110,445","669","11,889","2,539","387","9,855","40,237"
"    Percent","48.4%","51.6%","(X)","67.6%","20.7%","0.1%","2.2%","0.5%","0.1%","1.8%","7.5%"
" -> Muskingum County, Ohio","","","","","","","","","","",""
"    Estimate","42,017","44,288","39.6","78,145","1,934","28","173","N","N","971","4,999"
"    Percent","48.7%","51.3%","(X)","90.5%","2.2%","0.0%","0.2%","N","N","1.1%","5.8%"
" -> Portage County, Ohio","","","","","","","","","","",""
"    Estimate","81,105","81,560","38.8","141,457","6,597","303","3,553","N","N","2,438","8,317"
"    Percent","49.9%","50.1%","(X)","87.0%","4.1%","0.2%","2.2%","N","N","1.5%","5.1%"
" -> Richland County, Ohio","","","","","","","","","","",""
"    Estimate","64,363","60,701","41.6","105,450","7,277","122","1,220","N","N","2,244","8,728"
"    Percent","51.5%","48.5%","(X)","84.3%","5.8%","0.1%","1.0%","N","N","1.8%","7.0%"
" -> Ross County, Ohio","","","","","","","","","","",""
"    Estimate","39,569","36,932","40.4","67,885","3,128","484","343","N","N","768","3,785"
"    Percent","51.7%","48.3%","(X)","88.7%","4.1%","0.6%","0.4%","N","N","1.0%","4.9%"
" -> Scioto County, Ohio","","","","","","","","","","",""
"    Estimate","35,668","36,301","41.3","66,640","1,475","0","363","N","N","376","3,082"
"    Percent","49.6%","50.4%","(X)","92.6%","2.0%","0.0%","0.5%","N","N","0.5%","4.3%"
" -> Stark County, Ohio","","","","","","","","","","",""
"    Estimate","182,001","190,715","42.2","314,247","22,075","316","3,372","781","123","2,558","28,506"
"    Percent","48.8%","51.2%","(X)","84.3%","5.9%","0.1%","0.9%","0.2%","0.0%","0.7%","7.6%"
" -> Summit County, Ohio","","","","","","","","","","",""
"    Estimate","260,697","275,036","41.3","395,590","73,826","663","24,580","1,601","520","6,478","34,478"
"    Percent","48.7%","51.3%","(X)","73.8%","13.8%","0.1%","4.6%","0.3%","0.1%","1.2%","6.4%"
" -> Trumbull County, Ohio","","","","","","","","","","",""
"    Estimate","99,167","101,206","43.3","169,883","16,522","131","712","N","N","1,477","11,648"
"    Percent","49.5%","50.5%","(X)","84.8%","8.2%","0.1%","0.4%","N","N","0.7%","5.8%"
" -> Tuscarawas County, Ohio","","","","","","","","","","",""
"    Estimate","45,458","46,416","42.5","86,159","751","0","86","N","N","2,579","2,299"
"    Percent","49.5%","50.5%","(X)","93.8%","0.8%","0.0%","0.1%","N","N","2.8%","2.5%"
" -> Union County, Ohio","","","","","","","","","","",""
"    Estimate","33,819","35,818","37.9","58,362","2,026","22","3,040","N","N","1,371","4,816"
"    Percent","48.6%","51.4%","(X)","83.8%","2.9%","0.0%","4.4%","N","N","2.0%","6.9%"
" -> Warren County, Ohio","","","","","","","","","","",""
"    Estimate","126,181","125,967","40.3","207,060","8,030","260","15,806","3,127","1,039","5,627","15,324"
"    Percent","50.0%","50.0%","(X)","82.1%","3.2%","0.1%","6.3%","1.2%","0.4%","2.2%","6.1%"
" -> Wayne County, Ohio","","","","","","","","","","",""
"    Estimate","57,853","58,657","38.5","108,644","1,083","165","687","N","N","743","5,188"
"    Percent","49.7%","50.3%","(X)","93.2%","0.9%","0.1%","0.6%","N","N","0.6%","4.5%"
" -> Wood County, Ohio","","","","","","","","","","",""
"    Estimate","65,580","67,070","36.1","115,863","3,399","178","2,995","N","N","1,929","8,286"
"    Percent","49.4%","50.6%","(X)","87.3%","2.6%","0.1%","2.3%","N","N","1.5%","6.2%"
" -> Canadian County, Oklahoma","","","","","","","","","","",""
"    Estimate","88,324","87,505","35.9","124,524","6,737","4,905","6,097","543","0","10,187","23,170"
"    Percent","50.2%","49.8%","(X)","70.8%","3.8%","2.8%","3.5%","0.3%","0.0%","5.8%","13.2%"
" -> Cleveland County, Oklahoma","","","","","","","","","","",""
"    Estimate","149,905","151,288","35.5","208,489","13,944","9,770","13,937","1,015","60","9,551","45,502"
"    Percent","49.8%","50.2%","(X)","69.2%","4.6%","3.2%","4.6%","0.3%","0.0%","3.2%","15.1%"
" -> Comanche County, Oklahoma","","","","","","","","","","",""
"    Estimate","62,751","58,823","33.9","70,586","17,619","4,970","3,069","N","N","3,957","20,682"
"    Percent","51.6%","48.4%","(X)","58.1%","14.5%","4.1%","2.5%","N","N","3.3%","17.0%"
" -> Creek County, Oklahoma","","","","","","","","","","",""
"    Estimate","36,235","37,097","41.3","54,185","1,940","8,103","473","N","N","920","7,711"
"    Percent","49.4%","50.6%","(X)","73.9%","2.6%","11.0%","0.6%","N","N","1.3%","10.5%"
" -> Muskogee County, Oklahoma","","","","","","","","","","",""
"    Estimate","32,999","33,678","38.8","37,170","6,129","11,942","288","N","N","2,067","9,034"
"    Percent","49.5%","50.5%","(X)","55.7%","9.2%","17.9%","0.4%","N","N","3.1%","13.5%"
" -> Oklahoma County, Oklahoma","","","","","","","","","","",""
"    Estimate","396,846","412,020","35.4","450,877","111,440","22,576","27,308","2,941","403","47,151","146,631"
"    Percent","49.1%","50.9%","(X)","55.7%","13.8%","2.8%","3.4%","0.4%","0.0%","5.8%","18.1%"
" -> Payne County, Oklahoma","","","","","","","","","","",""
"    Estimate","41,609","41,743","27.8","63,354","3,445","2,862","3,101","868","519","1,204","9,269"
"    Percent","49.9%","50.1%","(X)","76.0%","4.1%","3.4%","3.7%","1.0%","0.6%","1.4%","11.1%"
" -> Pottawatomie County, Oklahoma","","","","","","","","","","",""
"    Estimate","35,289","38,502","38.3","52,891","2,379","7,503","702","N","N","564","9,741"
"    Percent","47.8%","52.2%","(X)","71.7%","3.2%","10.2%","1.0%","N","N","0.8%","13.2%"
" -> Rogers County, Oklahoma","","","","","","","","","","",""
"    Estimate","50,014","50,234","39.0","70,591","1,454","12,564","1,739","N","N","1,019","12,774"
"    Percent","49.9%","50.1%","(X)","70.4%","1.5%","12.5%","1.7%","N","N","1.0%","12.7%"
" -> Tulsa County, Oklahoma","","","","","","","","","","",""
"    Estimate","334,935","347,933","36.2","410,588","64,417","35,365","27,174","2,246","409","31,861","112,011"
"    Percent","49.0%","51.0%","(X)","60.1%","9.4%","5.2%","4.0%","0.3%","0.1%","4.7%","16.4%"
" -> Wagoner County, Oklahoma","","","","","","","","","","",""
"    Estimate","44,873","44,407","39.5","61,530","1,950","7,551","1,885","N","N","2,424","13,917"
"    Percent","50.3%","49.7%","(X)","68.9%","2.2%","8.5%","2.1%","N","N","2.7%","15.6%"
" -> Benton County, Oregon","","","","","","","","","","",""
"    Estimate","48,912","48,801","34.7","75,716","1,518","585","6,098","2,256","46","3,478","10,318"
"    Percent","50.1%","49.9%","(X)","77.5%","1.6%","0.6%","6.2%","2.3%","0.0%","3.6%","10.6%"
" -> Clackamas County, Oregon","","","","","","","","","","",""
"    Estimate","209,186","213,987","42.7","328,408","6,777","3,850","23,734","7,600","1,866","16,753","42,571"
"    Percent","49.4%","50.6%","(X)","77.6%","1.6%","0.9%","5.6%","1.8%","0.4%","4.0%","10.1%"
" -> Deschutes County, Oregon","","","","","","","","","","",""
"    Estimate","102,981","105,532","43.1","180,585","932","333","2,183","N","N","5,203","18,500"
"    Percent","49.4%","50.6%","(X)","86.6%","0.4%","0.2%","1.0%","N","N","2.5%","8.9%"
" -> Douglas County, Oregon","","","","","","","","","","",""
"    Estimate","54,712","57,723","46.7","96,477","433","1,507","675","N","N","1,681","11,600"
"    Percent","48.7%","51.3%","(X)","85.8%","0.4%","1.3%","0.6%","N","N","1.5%","10.3%"
" -> Jackson County, Oregon","","","","","","","","","","",""
"    Estimate","107,224","113,544","42.5","174,081","1,894","744","3,512","273","592","9,758","30,714"
"    Percent","48.6%","51.4%","(X)","78.9%","0.9%","0.3%","1.6%","0.1%","0.3%","4.4%","13.9%"
" -> Josephine County, Oregon","","","","","","","","","","",""
"    Estimate","42,968","44,853","47.6","76,202","108","878","1,055","N","N","1,726","7,767"
"    Percent","48.9%","51.1%","(X)","86.8%","0.1%","1.0%","1.2%","N","N","2.0%","8.8%"
" -> Klamath County, Oregon","","","","","","","","","","",""
"    Estimate","35,882","34,121","40.5","53,264","441","2,451","430","N","N","4,556","8,861"
"    Percent","51.3%","48.7%","(X)","76.1%","0.6%","3.5%","0.6%","N","N","6.5%","12.7%"
" -> Lane County, Oregon","","","","","","","","","","",""
"    Estimate","188,257","192,924","40.4","300,983","4,762","4,086","11,141","2,898","1,166","16,875","42,337"
"    Percent","49.4%","50.6%","(X)","79.0%","1.2%","1.1%","2.9%","0.8%","0.3%","4.4%","11.1%"
" -> Linn County, Oregon","","","","","","","","","","",""
"    Estimate","65,546","65,950","40.4","109,950","847","1,362","1,377","N","N","3,595","14,337"
"    Percent","49.8%","50.2%","(X)","83.6%","0.6%","1.0%","1.0%","N","N","2.7%","10.9%"
" -> Marion County, Oregon","","","","","","","","","","",""
"    Estimate","173,154","173,587","37.5","231,009","4,063","3,359","7,510","1,775","746","33,368","63,328"
"    Percent","49.9%","50.1%","(X)","66.6%","1.2%","1.0%","2.2%","0.5%","0.2%","9.6%","18.3%"
" -> Multnomah County, Oregon","","","","","","","","","","",""
"    Estimate","393,459","396,239","39.2","531,470","45,284","5,617","56,006","14,112","3,007","32,107","115,643"
"    Percent","49.8%","50.2%","(X)","67.3%","5.7%","0.7%","7.1%","1.8%","0.4%","4.1%","14.6%"
" -> Polk County, Oregon","","","","","","","","","","",""
"    Estimate","44,692","45,113","38.1","67,500","718","1,044","2,169","N","N","7,045","11,319"
"    Percent","49.8%","50.2%","(X)","75.2%","0.8%","1.2%","2.4%","N","N","7.8%","12.6%"
" -> Umatilla County, Oregon","","","","","","","","","","",""
"    Estimate","40,889","39,164","36.4","52,470","511","2,068","424","N","N","10,642","13,925"
"    Percent","51.1%","48.9%","(X)","65.5%","0.6%","2.6%","0.5%","N","N","13.3%","17.4%"
" -> Washington County, Oregon","","","","","","","","","","",""
"    Estimate","299,953","298,912","38.6","371,078","14,478","6,603","71,591","13,901","3,911","43,991","87,240"
"    Percent","50.1%","49.9%","(X)","62.0%","2.4%","1.1%","12.0%","2.3%","0.7%","7.3%","14.6%"
" -> Yamhill County, Oregon","","","","","","","","","","",""
"    Estimate","55,124","53,520","39.3","82,692","1,208","680","2,267","290","342","5,504","16,219"
"    Percent","50.7%","49.3%","(X)","76.1%","1.1%","0.6%","2.1%","0.3%","0.3%","5.1%","14.9%"
" -> Adams County, Pennsylvania","","","","","","","","","","",""
"    Estimate","52,563","54,185","44.6","94,126","1,441","443","894","N","N","3,946","5,769"
"    Percent","49.2%","50.8%","(X)","88.2%","1.3%","0.4%","0.8%","N","N","3.7%","5.4%"
" -> Allegheny County, Pennsylvania","","","","","","","","","","",""
"    Estimate","597,556","627,269","40.6","929,894","152,587","1,235","52,001","13,455","1,512","17,221","71,875"
"    Percent","48.8%","51.2%","(X)","75.9%","12.5%","0.1%","4.2%","1.1%","0.1%","1.4%","5.9%"
" -> Armstrong County, Pennsylvania","","","","","","","","","","",""
